ID Date "Start time" "End time" Time "Agenda item" "Case no" "Case type" "Agenda title" "Subject 1" "Subject 2" Name Gender Party Role Title Birth Age Text
20100112143705 2010-01-12 14:37:05 14:37:25 20 2010-01-12-7 61 B "1. behandling af b 61: om forbud mod import af dun og fjer fra kina." Business none "Mogens Lykketoft" Male S formand "Første næstformand" 1946-01-09 64 "forhandlingen er åbnet. justitsministeren."
20100112143725 2010-01-12 14:37:25 14:47:59 634 2010-01-12-7 61 B "1. behandling af b 61: om forbud mod import af dun og fjer fra kina." Business none "Brian Mikkelsen" Male KF minister Justitsministeren 1966-01-31 44 "efter beslutningsforslaget pålægges regeringen inden udgangen af 2010 at fremsætte forslag om forbud mod import af dun og fjer m.v. fra kina. endvidere pålægges regeringen at arbejde for et midlertidigt forbud mod import af dun og fjer m.v. fra ungarn og polen. forslagsstillerne begrunder beslutningsforslaget med, at de foreslåede initiativer skal sikre, at der ikke importeres og sælges dun og fjer i danmark, som er plukket fra levende fjerkræ, samt produkter, hvori sådanne dun og fjer indgår. baggrunden for forslaget er den svenske dokumentarudsendelse »dyrekøbte dun«, der bl.a. er blevet vist i dansk tv. både herhjemme og i andre lande, hvor dokumentarudsendelsen er blevet vist, har den givet anledning til en voldsom debat – og med god grund. for ingen, der har set den omtalte udsendelse, kan være uenig i, at der er tale om endog særdeles ubehagelige billeder af gæs, der blev plukket levende. jeg har tidligere haft lejlighed til at kommentere udsendelsen, bl.a. under et samråd i folketingets fødevareudvalg den 11. marts 2009. og som jeg gav udtryk for den gang, er det justitsministeriets klare vurdering, at hvis den plukning af fjer fra levende gæs, som vises i udsendelsen, foregik i danmark, ville den være i strid med dyreværnsloven, da plukningen må antages at være smertefuld for gæssene. anvendelsen af sådanne metoder til plukning af dun og fjer er derfor også efter regeringens opfattelse noget, som vi både må og skal tage afstand fra – og det gælder, uanset hvor i verden det finder sted. vi kan ikke begrænse diskussionen om vigtige dyrevelfærdsspørgsmål til kun at angå vores egne hjemlige forhold. det gælder selvfølgelig særlig i en tidsalder som vores, som jo er præget af tiltagende globalisering og tæt samhandel imellem landene. når regeringen alligevel ikke – trods de gode intentioner – kan støtte beslutningsforslaget, skyldes det, at vi mener, at eventuelle initiativer på dette område i stedet i første omgang bør tages på eu-niveau eller andet internationalt niveau. som nævnt pålægger beslutningsforslaget regeringen at arbejde for et midlertidigt forbud mod import af dun og fjer fra polen og ungarn samt mod import af produkter, hvori dun og fjer fra disse lande indgår. det er så ifølge forslagsstillerne tanken, at importforbuddet skal gælde, indtil de pågældende lande har dokumenteret, at de overholder forbuddet mod plukning af dun og fjer fra levende gæs. plukningen af levende gæs har givet anledning til en del debat, og spørgsmålet er blevet taget op i eu-regi ved flere lejligheder og på flere niveauer, også på ministerniveau. på rådsmødet den 23. marts 2009 bad sverige, støttet af bl.a. danmark, europa-kommissionen om at klarlægge, om plukning af fjer fra levende gæs er foreneligt med rådets direktiv fra 1998 om beskyttelse af landbrugsdyr, herunder om det kan lade sig gøre at plukke fjer fra levende gæs, uden at de udsættes for unødig smerte eller skade. kommissionen oplyste, at den ville undersøge situationen i eu-medlemslandene og, hvis det var nødvendigt, foreslå en ændring af lovgivningen. på et efterfølgende møde i eu redegjorde kommissionen for praksis for plukning af fjer fra levende fugle i medlemslandene. af de oplysninger, som kommissionen havde indhentet fra medlemslandene, fremgik det, at plukning af dun eller fjer fra levende gæs finder sted i ungarn og polen. disse landes myndigheder havde imidlertid ifølge deres egne oplysninger ikke konstateret dyrevelfærdsmæssige problemer ved denne praksis. i august sidste år kontaktede mine embedsmænd europa-kommissionen for at høre, hvad status var i sagen. kommissionen oplyste, at man fortsat arbejdede på at klarlægge, om plukning af fjer fra levende gæs kan finde sted, uden at gæssene udsættes for unødig smerte, lidelse eller skade. kommissionen oplyste endvidere, at man overvejede at anmode den europæiske fødevaresikkerhedsmyndighed om en udtalelse om, hvordan denne praksis påvirker fuglenes adfærd. vi har for en måneds tid siden på ny spurgt til status i sagen og har endnu ikke modtaget svar fra kommissionen, men jeg kan også oplyse her, at sagen er sat på dagsordenen for mødet i den stående komité for fødevarekæden og dyresundhed, der afholdes i bruxelles i dag. jeg ser meget frem til resultatet af kommissionens undersøgelser, som forhåbentlig kan give os et nærmere indblik i de problemstillinger, som er forbundet med plukning af fjer fra gæs, og som kan bidrage til at sikre os et velunderbygget grundlag for de videre overvejelser i sagen. som sagt har kommissionen jo tilkendegivet, at den vil fremsætte forslag, hvis dens undersøgelser viser, at der er behov for et initiativ fra eu's side. efter regeringens opfattelse bør vi derfor afvente resultatet af kommissionens undersøgelser, før vi begynder at overveje, om der er grundlag for inden for rammerne af eu-retten at tage særlige nationale initiativer i forhold til ungarn og polen. beslutningsforslaget pålægger også regeringen at indføre et forbud mod import af fjer og dun fra kina samt mod import af produkter, hvori fjer og dun fra kina indgår. det er imidlertid efter regeringens opfattelse yderst tvivlsomt, om et sådant ensidigt nationalt importforbud vil være foreneligt med eu-retten og wto-retten. for det første er et forbud mod import af varer fra et tredjeland omfattet af eu’s eksklusive handelspolitiske kompetence. det betyder, at et forbud mod import af dun og fjer m.v. direkte fra kina som udgangspunkt skal fastsættes på eu-plan som led i den fælles handelspolitik. det er korrekt, som forslagsstillerne anfører, at eu’s regler åbner  mulighed et sådant forbud kan således bl.a. indføres, hvis det kan begrundes i hensynet til beskyttelse af dyrs liv og sundhed eller hensynet til den offentlige sædelighed. en national restriktion af hensyn til beskyttelse af dyrevelfærd kan efter eu-retten dog kun retfærdiggøres, hvis dette hensyn varetages på medlemslandets eget territorium. det vil derfor efter regeringens opfattelse ikke være foreneligt med eu-retten at indføre et dansk forbud mod import af dun og fjer med den begrundelse, at forbuddet skal varetage dyrevelfærden for gæs og andet fjerkræ uden for danmarks grænser, i det her tilfælde kina. som nævnt kunne det overvejes, om et importforbud i stedet kunne begrundes i hensynet til den offentlige sædelighed. det ville i givet fald bygge på det synspunkt, at man i danmark finder det etisk anstødeligt at blive konfronteret med produkter, der indeholder fjer og dun fra gæs, der er blevet plukket levende. en ensidigt restriktiv foranstaltning som et forbud mod import af dun og fjer fra kina vil imidlertid kun være forenelig med eu-retten, hvis foranstaltningen opfylder det almindelige proportionalitetskrav. heraf følger, at foranstaltningen skal være egnet til at nå sit mål og ikke gå videre end nødvendigt for at nå målet. i den forbindelse vil det navnlig skulle dokumenteres, at alle eller en stor andel af de fjer og dun, der importeres fra kina, rent faktisk er plukket af levende fugle. dette har vi i øjeblikket ikke noget belæg for at antage. for det andet vil euf-traktatens bestemmelser om varernes fri bevægelighed være til hinder for et forbud mod import fra andre eu-lande af produkter, hvori der indgår fjer og dun fra kina. for at et importforbud skal være effektivt, vil det jo også være nødvendigt at forbyde import af produkter, der indeholder kinesiske fjer og dun, og som er bragt i fri omsætning i andre eu-lande end danmark. og som jeg nævnte lige før, vil et sådant importforbud begrundet i den offentlige sædelighed næppe opfylde proportionalitetskravet. for det tredje vil et forbud mod import af dun og fjer fra kina udgøre en handelshindring i forhold til wto-reglerne. et sådant forbud vil således skulle retfærdiggøres ud fra et eller flere af de hensyn, som wto-reglerne anerkender som begrundelse for at indføre handelshindringer, herunder hensynet til den offentlige moral. det nærmere omfang af denne undtagelse er imidlertid uklart, og der foreligger ingen praksis, der anerkender, at wto-medlemmer under henvisning til hensynet til den offentlige moral kan varetage dyrevelfærdshensyn i andre wto-medlemslande. som det gerne skulle være fremgået, giver indførelsen af et ensidigt nationalt forbud mod import af fjer og dun fra kina samt produkter, hvori der indgår fjer og dun fra kina, altså anledning til en lang række overvejelser. hertil kommer, at et ensidigt dansk forbud mod import af fjer og dun fra kina kun vil have en meget begrænset – om nogen – effekt i forhold til at forbedre velfærden for gæs og andet fjerkræ i kina. ud fra de oplysninger, jeg har fået fra udenrigsministeriet, er den mængde fjer og dun, vi fra dansk side importerer direkte fra kina, temmelig begrænset. og som nævnt vil det næppe være muligt at hindre import fra andre eu-lande af produkter, som indeholder fjer og dun fra kina, og som er bragt i fri omsætning i et andet eu-land. det er på den baggrund regeringens klare holdning, at problemet bedst løses på eu-niveau eller andet internationalt niveau. jeg er ikke bekendt med, om europa-kommissionen har inddraget problematikken vedrørende import af fjer og dun fra kina eller andre tredjelande i sin undersøgelse af, om der er behov for konkrete initiativer på området. men som nævnt drøftes sagen om plukning af fjer fra levende gæs på et møde i bruxelles i dag. fra dansk side vil vi i den forbindelse anmode kommissionen om at overveje, om der er behov for at tage særlige initiativer i forhold til at sikre, at fjer og dun, der importeres til eu, er plukket på en dyrevelfærdsforsvarlig måde. som jeg indledte med at understrege, er regeringen helt enig med forslagsstillerne i, at det ikke skal være tilladt at plukke dun og fjer af levende gæs, hvis gæssene udsættes for unødig smerte, lidelse eller skade. regeringen mener imidlertid, at problemet skal søges løst på eu-niveau eller andet internationalt niveau, og at der derfor er god grund til at afvente resultatet af kommissionens undersøgelser. regeringen kan derfor ikke støtte beslutningsforslaget."
20100112144759 2010-01-12 14:47:59 14:48:05 6 2010-01-12-7 61 B "1. behandling af b 61: om forbud mod import af dun og fjer fra kina." Business none "Mogens Lykketoft" Male S formand "Første næstformand" 1946-01-09 64 "der er en kort bemærkning fra fru marlene harpsøe."
20100112144805 2010-01-12 14:48:05 14:49:01 56 2010-01-12-7 61 B "1. behandling af b 61: om forbud mod import af dun og fjer fra kina." Business none "Marlene Harpsøe" Female DF medlem nil 1983-08-03 27 "først tak til ministeren for denne redegørelse, for det her er jo dansk folkepartis beslutningsforslag. jeg må sige, at jeg da synes, det er dejligt, at justitsministeren står og roser forslaget. justitsministeren siger jo, at det er gode intentioner, der er i forslaget, og at man må og skal tage afstand fra plukning af levende fugle, som man så det i dokumentaren, og at man også skulle tage afstand fra det, uanset hvor i verden det så fandt sted. jeg er udmærket klar over, at ministeren gerne på internationalt plan, på eu-plan, vil løse det her. det er sådan set også det, som vi i dansk folkeparti lægger op til i det her beslutningsforslag, hvor vi netop skriver, at vi vil pålægge regeringen at arbejde for, at der kan komme et sådant importforbud mod fjer og dun fra levende fugle. derfor mener jeg selvfølgelig også, at regeringen må tage ansvar i den her sag. hvad er der galt i, at regeringen pålægges at  arbejde for"
20100112144901 2010-01-12 14:49:01 14:49:03 2 2010-01-12-7 61 B "1. behandling af b 61: om forbud mod import af dun og fjer fra kina." Business none "Mogens Lykketoft" Male S formand "Første næstformand" 1946-01-09 64 ministeren.
20100112144903 2010-01-12 14:49:03 14:49:47 44 2010-01-12-7 61 B "1. behandling af b 61: om forbud mod import af dun og fjer fra kina." Business none "Brian Mikkelsen" Male KF minister Justitsministeren 1966-01-31 44 "vi er jo i gang med at undersøge sagen, som jeg nævnte i min tale her fra folketingets talerstol. vi er i kontakt med kommissionen. der er møde i dag om den pågældende sag, hvor man er ved at undersøge forholdene i ungarn og polen med hele diskussionen om, hvorvidt plukning af fjer fra levende dyr er forbundet med smerte eller ej for i det her tilfælde gæssene, også i ungarn. så processen er i gang, men der er altså en respekt for den saglighed og den kvalitet, der er i, at kommissionen er i gang med en undersøgelse, og der er en dialog med de pågældende lande om det."
20100112144947 2010-01-12 14:49:47 14:49:50 3 2010-01-12-7 61 B "1. behandling af b 61: om forbud mod import af dun og fjer fra kina." Business none "Mogens Lykketoft" Male S formand "Første næstformand" 1946-01-09 64 "fru marlene harpsøe."
20100112144950 2010-01-12 14:49:50 14:50:41 51 2010-01-12-7 61 B "1. behandling af b 61: om forbud mod import af dun og fjer fra kina." Business none "Marlene Harpsøe" Female DF medlem nil 1983-08-03 27 "jeg kan så forstå, at ministeren egentlig er helt enig i den intention, som dansk folkeparti har, men vil alligevel ikke bakke op om beslutningsforslaget. det synes jeg lyder lidt mærkeligt. i forhold til verdenshandelsorganisationen, wto, som danmark jo er medlem af, har ministeren også både i dag og i et svar til retsudvalget været inde på, at man kan indføre et importforbud over for kina, hvis det sker af hensyn til den offentlige moral. mener justitsministeren ikke, at det er moralsk forkasteligt, at levende fugle bliver tortureret på den her måde, får plukket fjerene af? det mener vi i hvert fald i dansk folkeparti. vi vil gerne have sat en stopper for den her dyremishandling. jeg vil bare gerne vide, hvad justitsministeren egentlig mener, når det er, at ministeren taler om dyrevelfærd. vil man egentlig gøre en indsats for at stoppe mishandling, torturering af de her levende fugle, eller vil man ikke?"
20100112145041 2010-01-12 14:50:41 14:50:43 2 2010-01-12-7 61 B "1. behandling af b 61: om forbud mod import af dun og fjer fra kina." Business none "Mogens Lykketoft" Male S formand "Første næstformand" 1946-01-09 64 ministeren.
20100112145043 2010-01-12 14:50:43 14:51:37 54 2010-01-12-7 61 B "1. behandling af b 61: om forbud mod import af dun og fjer fra kina." Business none "Brian Mikkelsen" Male KF minister Justitsministeren 1966-01-31 44 "regeringen har en klar profil på dyrevelfærdsområdet, som handler om mest muligt dyrevelfærd til dyrene, også i det her tilfælde eksempelvis gæs. men sagen er den, at vi også lever i den virkelige verden, og f.eks. omkring wto og kina er der nogle spilleregler, som vi fra dansk side overholder, og som er til meget, meget stor gavn for danmark, fordi vi gerne vil have en fri handel i verden. der er nogle regler, som vi selvfølgelig overholder. jeg har gjort opmærksom på de mange problematikker, der er ved at indføre et sådant importforbud af dun og fjer fra kina, ikke mindst at det ikke drejer sig om særlig store mængder, og at man så skulle kontrollere, hvad der så kom til alle mulige andre europæiske lande, som ikke havde det importforbud. derfor er der kun én vej frem på det her område, og det er mest muligt internationalt samarbejde, og at man tager situationen alvorligt i eu. det er man i gang med. og man skal selvfølgelig også have en dialog på wto-plan om det."
